,id,text,label
0,1,ور بی تو بامداد کنم روز محشر است,saadi
1,2,ساقی بیار جامی کز زهد توبه کردم,hafez
2,3,مرا هرآینه خاموش بودن اولی‌تر,saadi
3,4,تو ندانی که چرا در تو کسی خیره بماند,saadi
4,5,کاینان به دل ربودن مردم معینند,saadi
5,6,جان باختن آسان است اندر نظرت لیکن,saadi
6,7,گر خاک پای دوست خداوند شوق را,saadi
7,8,بی تو در دامن گلزار نخفتم یک شب,saadi
8,9,پرده بردار که هوش از تن عاقل برود,saadi
9,10,چرا نه در پی عزم دیار خود باشم,hafez
10,11,که زندگانی او در هلاک بودن اوست,saadi
11,12,که نه هر کو ورقی خواند معانی دانست,hafez
12,13,زلف آشفته و خوی کرده و خندان لب و مست,hafez
13,14,نسیم موی تو پیوند جان آگه ماست,hafez
14,15,من همان روز که روی تو بدیدم گفتم,saadi
15,16,اری اسامر لیلای لیله القمر,hafez
16,17,تو وفا گر کنی و گر نکنی,saadi
17,18,سودا مپز که آتش غم در دل تو نیست,saadi
18,19, سخت زیبا می‌روی یک بارگی,saadi
19,20,اگر چه رسم خوبان تندخوییست,saadi
20,21,کز حدیث من و حسن تو خبر می‌نرود,saadi
21,22,ای پسر جام می‌ام ده که به پیری برسی,hafez
22,23,بیا و گر همه دشنام می‌دهی شاید,saadi
23,24,من ترک وصال تو نگویم,saadi
24,25,نفسی بیا و بنشین سخنی بگوی و بشنو,saadi
25,26,سنگسان شو در قدم نی همچو آب,hafez
26,27,سر تا قدم وجود حافظ,hafez
27,28,گفتم ای غافل نبینی کوه با چندین وقار,saadi
28,29,راه ز پیش و دل ز پس واقعه‌ایست مشکلم,saadi
29,30,من تنک پوست نگفتم تو چنین سخت کمانی,saadi
30,31,غرقه حالی دست و پایی می‌زند,saadi
31,32,که هر که با تو به خلوت بود نه تنهاییست,saadi
32,33,من به خیال زاهدی گوشه‌نشین و طرفه آنک,saadi
33,34,سعدیا تسلیم فرمان شو که نیست,saadi
34,35,زانجا که پرده پوشی عفو کریم توست,hafez
35,36,در انتظار رویت ما و امیدواری,saadi
36,37,با محتسبم عیب مگویید که او نیز,saadi
37,38,جام مینایی می سد ره تنگ دلیست,hafez
38,39,زخم شمشیر غمت را ننهم مرهم کس,saadi
39,40,خطاست این که دل دوستان بیازاری,saadi
40,41,لیکن مجال گفت نباشد تو در سخن,saadi
41,42,کآیینه‌ایست جام جهان بین که آه از او,hafez
42,43,خود نبود و گر بود تا به قیامت آزری,saadi
43,44,دانند که در خرمن من بیشتر افتاد,saadi
44,45,جان از تو عزیزتر نباشد,saadi
45,46,هر دل که ز عشق توست خالی,hafez
46,47,گفت آن روز که این گنبد مینا می‌کرد,hafez
47,48,نزدی شاه رخ و فوت شد امکان حافظ,hafez
48,49,به یاد شخص نزارم که غرق خون دل است,hafez
49,50,بده ساقی می باقی که در جنت نخواهی یافت,hafez
50,51,تا به تماشای باغ میل چرا می‌کند,saadi
51,52,گفتم که نوش لعلت ما را به آرزو کشت,saadi
52,53,هر گلی بلبلی غزل خوان داشت,hafez
53,54,رهروی باید جهان سوزی نه خامی بی‌غمی,saadi
54,55, کس این کند که دل از یار خویش بردارد,saadi
55,56,میان این همه خواهندگان به من چه رسد,saadi
56,57,غرض ز مسجد و میخانه‌ام وصال شماست,hafez
57,58,یا شنیدی که در وجود آمد,saadi
58,59,بگذر از نام و ننگ خود حافظ,hafez
59,60,که همه عمر نه مشتاق لقای تو بود,saadi
60,61,گل ز حد برد تنعم نفسی رخ بنما,hafez
61,62,دیدار تو حل مشکلات است,saadi
62,63,به عشوه هم پیامی بر سر بیمار می‌آورد,hafez
63,64,وه که گر من بازبینم روی یار خویش را,saadi
64,65,وز لوح سینه نقشت هرگز نگشت زایل,hafez
65,66,تیری که زدی بر دلم از غمزه خطا رفت,hafez
66,67,عاقلان نقطه پرگار وجودند ولی,hafez
67,68,سرزنشها گر کند خار مغیلان غم مخور,saadi
68,69,اشتر که اختیارش در دست خود نباشد,saadi
69,70,آن جا که کار صومعه را جلوه می‌دهند,hafez
70,71,مجال من همین باشد که پنهان عشق او ورزم,saadi
71,72,گفته بودم که دل به کس ندهم,saadi
72,73,مگر کسی ز توام مژده‌ای فرازآرد,saadi
73,74, دوش از جناب آصف پیک بشارت آمد,hafez
74,75,نماز شام غریبان چو گریه آغازم,hafez
75,76,خار ار چه جان بکاهد گل عذر آن بخواهد,saadi
76,77,دیدم امروز بر زمین قمری,saadi
77,78,بدان هوس که به مستی ببوسم آن لب لعل,hafez
78,79,کآخر نداند بیش از این یا می‌کشد یا می‌برد,saadi
79,80,از لبش بوسی گدایی می‌کند,hafez
80,81,تو دم فقر ندانی زدن از دست مده,hafez
81,82,چو آتشیت نباشد چگونه برجوشی,saadi
82,83,که قیامت رسد این رشته به هم یا نرسد,saadi
83,84,پیرهن چاک و غزل خوان و صراحی در دست,hafez
84,85,تحمل می‌کنم با زخم چون مرهم نمی‌بینم,saadi
85,86,و از رشک چشم نرگس رعنا به خواب کن,hafez
86,87,سعدی به دام عشق تو در پای بند ماند,saadi
87,88,طاووس عرش می‌شنود صیت شهپرم,hafez
88,89,به جان و سر که نگردانم از وصال تو روی,saadi
89,90,گر تو با ما خوش درآیی ما از آن آسوده‌ایم,saadi
90,91,دوستان را قبای فتح دهیم,hafez
91,92,جامم به دست باشد و زلف نگار هم,hafez
92,93, عهد کردیم که بی دوست به صحرا نرویم,saadi
93,94,چنان ببست که ره نیست زیر دیر مغاک,hafez
94,95,جای تصور نماند دیگرم اندر ضمیر,saadi
95,96,گر می به جان دهندت بستان که پیش دانا,saadi
96,97,در این جهان ز برای دل رهی آورد,hafez
97,98,شکایت پیش از این حالت به نزدیکان و غمخواران,saadi
98,99,آیینه‌ای ندارم از آن آه می‌کشم,saadi
99,100,من درخور تو چه تحفه آرم,saadi
100,101,تا پیشترت بوسه دهم دست و کمان را,saadi
101,102,دلق و سجاده ناموس به میخانه فرست,hafez
102,103,شاخکی تازه برآورد صبا بر لب جوی,hafez
103,104,طالب چشمه خورشید درخشان نشود,hafez
104,105,تو می‌باید که باشی ور نه سهل است,saadi
105,106,انصاف شاه باد در این قصه یاورم,hafez
106,107,دوشم آن سنگ دل پریشان داشت,saadi
107,108,کو راهروی اهل دلی پاک سرشتی,hafez
108,109,گوییا باور نمی‌دارند روز داوری,saadi
109,110,ورم ز دست ملامت به جان بگردانی,saadi
110,111, من چون تو به دلبری ندیدم,saadi
111,112,خوش حلقه‌ایست لیک به در نیست راه از او,hafez
112,113,خلوت گزیده را به تماشا چه حاجت است,saadi
113,114,ای سخت کمان سست پیمان,saadi
114,115,جگر چون نافه‌ام خون گشت کم زینم نمی‌باید,hafez
115,116,کلک تو خوش نویسد در شان یار و اغیار,hafez
116,117,ضرورت است که گوید به سرو ماند راست,saadi
117,118,سایه دولت بر این کنج خراب انداختی,hafez
118,119,اگر آن طایر قدسی ز درم بازآید,hafez
119,120,ترک عاشق کش من مست برون رفت امروز,hafez
120,121,بباختم دل دیوانه و ندانستم,saadi
121,122, مژده وصل تو کو کز سر جان برخیزم,hafez
122,123,نهاده‌ایم مگر او به تیغ بردارد,saadi
123,124,ما سر اینک نهاده‌ایم به طوع,saadi
124,125,همی‌برند به عالم چو نافه ختنی,hafez
125,126,هر چه گفتیم در اوصاف کمالیت او,saadi
126,127,کس ندانم که به جان در طلبش پویان نیست,saadi
127,128, دوست می‌دارم من این نالیدن دلسوز را,saadi
128,129,آن که در دامنش آویخته باشد خاری,saadi
129,130,عاجز بماند در تو زبان فصاحتش,saadi
130,131, آمد گه آن که بوی گلزار,saadi
131,132,به دوستی که غلط می‌برد گمان ای دوست,saadi
132,133,نمی‌دانم رطب را چاشنی چیست,saadi
133,134,هرگزم نقش تو از لوح دل و جان نرود,hafez
134,135,مژدگانی بده ای نفس که سختی بگذشت,saadi
135,136,که نه خاطر تماشا نه هوای باغ دارد,saadi
136,137,تو را خود یک زمان با ما سر صحرا نمی‌باشد,saadi
137,138,یا رب هلاک من مکن الا به دست دوست,saadi
138,139,یا به خضاب و سرمه‌ای یا به عبیر و عنبری,saadi
139,140,دیدار خوبان اختیار از دست دانا می‌برد,saadi
140,141,ابروش کمان قتل عاشق,saadi
141,142,مرا گر دوستی با او به دوزخ می‌برد شاید,saadi
142,143,زمانه از ورق گل مثال روی تو بست,hafez
143,144,مرو به خواب که حافظ به بارگاه قبول,hafez
144,145,در میان پختگان عشق او خامم هنوز,saadi
145,146,پیکی ندوانید و سلامی نفرستاد,hafez
146,147,عبیرآمیز می‌آید شمالش,saadi
147,148,همای اوج سعادت به دام ما افتد,hafez
148,149, ای مرهم ریش و مونس جانم,saadi
149,150,به دست جور و جفا گوشمال داده بسی,saadi
150,151,دلم ز نرگس ساقی امان نخواست به جان,hafez
151,152,غم دل با تو نگویم که ندانی دردم,saadi
152,153,عشقت رسد به فریاد ار خود به سان حافظ,hafez
153,154,که التفات بود بر جهان و بر جانش,saadi
154,155,به گدایی ز در میکده زادی طلبیم,hafez
155,156, گر کسی سرو شنیدست که رفتست اینست,saadi
156,157,از شمع بپرسید که در سوز و گداز است,hafez
157,158,سری دارم مهیا بر کف دست,saadi
